tree.number.20,median.shifts.20,ESS.shifts.20,ESS.logLik.20,root.lambda.mean.20,root.mu.mean.20,root.lambda.decay.20,root.mu.decay.20,tip.lambda.mean.20,tip.mu.mean.20,median.shifts.50,ESS.shifts.50,ESS.logLik.50,root.lambda.mean.50,root.mu.mean.50,root.lambda.decay.50,root.mu.decay.50,tip.lambda.mean.50,tip.mu.mean.50,median.shifts.80,ESS.shifts.80,ESS.logLik.80,root.lambda.mean.80,root.mu.mean.80,root.lambda.decay.80,root.mu.decay.80,tip.lambda.mean.80,tip.mu.mean.80,median.shifts.s20,ESS.shifts.s20,ESS.logLik.s20,root.lambda.mean.s20,root.mu.mean.s20,root.lambda.decay.s20,root.mu.decay.s20,tip.lambda.mean.s20,tip.mu.mean.s20
48,0,325.6520082,222.7773677,0.4607734,0.632067797,0.012568864,0.012568864,0.671030364,0.635252415,0,463.2253872,277.6452561,0.445792858,0.616209645,0.012757942,0.012757942,0.651675682,0.61664392,0,216.3173731,336.3092893,0.45942373,0.621292142,0.011498181,0.011498181,0.65518457,0.624082101,0,346.9618964,368.688555,0.826433106,0.563443986,-0.009479342,-0.009479342,0.606330612,0.5645936
49,0,105.2914093,271,1.544290221,2.680751107,1.103652889,1.103652889,3.086457137,2.680759995,0,316,316,1.343267658,2.367470918,0.940785532,0.940785532,2.684259312,2.367501821,0,968.5150903,229.6879562,7.310985053,4.733524867,-0.086691943,-0.086691943,3.571854261,4.733475664,0,894.9254356,180.2982167,7.29282555,3.790205618,-0.161002291,-0.161002291,3.884442957,3.790259357
50,0,361,310.6351242,14.98290576,10.45207141,-0.026275053,-0.026275053,8.959329789,10.45220896,0,178.9797742,435.7544357,15.27788419,10.89398837,-0.142855422,-0.142855422,8.927803955,10.94299812,0,658.1912186,326.6347931,13.28147635,9.841500794,-0.125332863,-0.125332863,7.93220861,9.840951739,0,914.6181611,437.0068213,16.30848622,8.787150037,-0.405208949,-0.405208949,8.876725314,8.787179452
51,0,1216,253.8323593,5.221373553,4.011631513,-0.069359046,-0.069359046,3.448614965,4.010522059,0,833.0664319,378.9318983,4.053708529,3.406076287,-0.030598656,-0.030598656,3.061463504,3.406426487,0,271,288.7018268,1.701452727,1.378124541,-0.011331012,-0.011331012,1.279949844,1.380490624,0,612.4673749,502.5881518,2.850750614,2.180639558,0.085714161,0.085714161,2.887020339,2.225029295
52,0,546.9478223,275.95227,13.46282497,8.517226588,-0.21908644,-0.21908644,6.965447174,8.516810903,0,856,332.697549,12.30312401,8.733735409,-0.148325887,-0.148325887,7.313844003,8.733653951,0,1576,280.1278376,13.6246322,9.752270235,-0.139749126,-0.139749126,7.509351128,9.746602727,0,496,364.9989907,13.37364994,6.151498508,-0.44245631,-0.44245631,6.46160198,6.151649867
53,0,271,271,1.474704613,2.661108118,1.102317557,1.102317557,2.94909258,2.661108008,0,541,327.6979398,1.516402625,2.853948965,0.963963397,0.963963397,3.032547757,2.853927853,0,4158.964985,115.5531102,6.229338009,4.687510318,-0.041434289,-0.041434289,3.836889774,4.687321675,0,378.3821469,385.4837069,1.594011165,2.22741,1.154974965,1.154974965,3.176236513,2.227454967
54,0,560.1446379,231.6803739,5.917189683,4.396786735,-0.070544446,-0.070544446,4.330502225,4.395982167,0,400.4852798,243.0125247,5.199713589,3.535537278,-0.108247895,-0.108247895,3.020319769,3.533238389,0,644.3386739,305.3322033,5.034129188,3.358538181,-0.121424816,-0.121424816,2.408662902,3.357797787,0,361,361,3.843746233,2.522331526,0.122663891,0.122663891,3.745243399,2.526504556
55,1,328.8305771,631,3.865653106,5.852099064,0.169649828,0.169649828,6.484298669,5.652637502,1,377.3653412,336.3484234,1.696666844,2.615719226,0.04988057,0.04988057,3.058216349,2.261682501,1,245.9784549,476.9221658,1.765300025,3.117568199,-0.073554584,-0.073554584,6.393202579,3.562998949,1,236.5102796,355.512762,3.156989405,4.189702412,0.128323124,0.128323124,4.68687795,3.823532214
56,0,1036,326.5915111,6.6686264,5.284096622,-0.081968575,-0.081968575,4.645359055,5.282340217,0,328.2785322,330.6899363,2.93417798,2.165616749,-0.056319813,-0.056319813,1.993403655,2.211800705,0,219.948317,395.9581888,7.895403323,5.929420259,-0.627935994,-0.627935994,4.501222853,6.27751257,0,361,361,6.600141025,3.387360779,-0.278883714,-0.278883714,3.44953725,3.391231686
57,0,725.6100422,287.752929,6.609538779,4.350581393,-0.112375165,-0.112375165,3.645181826,4.350649738,0,812.9037473,275.0754309,6.23330788,4.318940455,-0.092113658,-0.092113658,3.562143383,4.317922767,0,1023.496853,310.5933423,5.735570385,3.640334274,-0.124805281,-0.124805281,2.393478203,3.638385454,0,141.7104787,316,3.0520775,2.263488766,0.140000428,0.140000428,3.503877864,2.26708803
